player_name,season,games_missed,teams,injury_notes,player_id
Joakim Noah,2014-15,3,Bulls,left knee injury (DTD) | sore left knee (DTD) | fined $25K by NBA for pushing fan while walking to locker room,201149
Joakim Noah,2015-16,4,Bulls,sore left knee (DTD) | sprained left shoulder (DTD) | separated left shoulder (out for season),201149
Joakim Noah,2016-17,2,Knicks,arthrosopic surgery on left knee to remove loose body (out for season) | surgery on right shoulder to repair torn rotator cuff (out indefinitely),201149
Joakim Noah,2018-19,2,Grizzlies,right heel injury (DTD) | sore right knee (DTD),201149
Jodie Meeks,2014-15,1,Pistons,stress fracture in lower back (out indefinitely),201975
Jodie Meeks,2015-16,2,Pistons,fractured right foot (out indefinitely) | surgery on right foot to repair fracture (date approximate),201975
Jodie Meeks,2016-17,2,Magic,dislocated right thumb (DTD) | surgery on dislocated right thumb (out indefinitely),201975
Joe Harris,2015-16,2,"Cavaliers, Magic",right foot injury (DTD) (CBC Y) | surgery on right foot (out indefinitely) (P- error?),203925
Joe Harris,2016-17,3,Nets,hip pointer (DTD) | sprained left ankle (DTD) | sprained left shoulder (out for season),203925
Joe Harris,2017-18,2,Nets,illness (DTD) | sprained left ankle (out for season),203925
Joe Harris,2018-19,2,Nets,adductor injury (DTD) | right hip injury (DTD),203925
Joe Ingles,2014-15,1,Jazz,back spasms (DTD),204060
Joe Ingles,2015-16,1,Jazz,oral surgery (DTD),204060
Joe Johnson,2014-15,1,Nets,flu (DTD),2207
Joe Johnson,2016-17,2,Jazz,left groin injury (DTD) | strained left groin (DTD),2207
Joe Johnson,2017-18,2,"Jazz, Rockets",sore right wrist (DTD) | illness (DTD),2207
Joe Young,2015-16,1,Pacers,knee injury (DTD),1626202
Joe Young,2016-17,1,Pacers,illness (DTD),1626202
Joe Young,2017-18,1,Pacers,illness (DTD),1626202
Joel Anthony,2014-15,1,Pistons,groin injury (DTD),201202
Joel Embiid,2016-17,9,76ers,rehab of foot injury (DTD) | bruised left knee (DTD) | bruised left knee (out for season),203954
Joel Embiid,2017-18,6,76ers,back injury (DTD) | sore right ankle (DTD) | fractured left orbital bone (out indefinitely),203954
Joel Embiid,2018-19,4,76ers,sore left knee (DTD),203954
Joffrey Lauvergne,2015-16,4,Nuggets,strained lower back (DTD) | infection in right toe (DTD) | back injury (out for season),203530
Joffrey Lauvergne,2017-18,3,Spurs,sprained right ankle (DTD) | finger injury (DTD),203530
