player_name,season,games_missed,teams,injury_notes,player_id
Kyrie Irving,2017-18,3,Celtics,sore left knee (DTD) | surgery on left knee (out for season) | surgery on left knee to remove 2 screws (out for season) (date approximate),202681
Kyrie Irving,2018-19,1,Celtics,bruised right knee (DTD),202681
LaMarcus Aldridge,2013-14,1,Blazers,bruised lower back (DTD),200746
LaMarcus Aldridge,2014-15,6,Blazers,left thumb injury (DTD) | sprained right thumb (DTD) | left finger injury (DTD),200746
LaMarcus Aldridge,2016-17,2,Spurs,gastroenteritis (DTD) | sprained left/right thumb (DTD),200746
LaMarcus Aldridge,2017-18,2,Spurs,sore right knee (DTD),200746
Lance Stephenson,2014-15,3,Hornets,bruised pelvis (DTD) | sprained right toe (out for season),202362
Lance Stephenson,2015-16,1,Grizzlies,sprained right wrist (DTD),202362
Lance Stephenson,2016-17,3,"Pelicans, Timberwolves",torn groin muscle (surgery) (out indefinitely) | sprained left ankle (DTD),202362
Lance Stephenson,2018-19,3,Lakers,sprained toe (DTD) | sore left foot (out for season),202362
Lance Thomas,2014-15,1,Knicks,strained left groin (DTD),202498
Lance Thomas,2015-16,3,Knicks,sore left knee (DTD) | concussion (DTD) | sprained MCL in left knee (out for season),202498
